contrato;objeto;portal_de_compras;data_assinatura;inicio_execucao;termino_execucao;situacao;empresa_principal;cnpj;orgao_entidade_contratante;setor;modalidade_de_licitacao;regime_de_execucao;classificacao;natureza_do_contrato;obras_do_contrato;municipios;dias_originais;dias_aditados;dias_paralisados;dias_atuais;valor_inicial_do_contrato;valor_em_aditivos;valor_total_do_contrato;valor_medido_precos_iniciais;valor_medido_reajuste;total_medido;saldo_contratual;percentual_de_execucao_do_contrato
DC-9447761/2025;PONTE RIO DOURADO  DIMENSÃO 56,0X10,0M NO TRECHO CORDISLÂNDIA - CARVALHÓPOLIS;230152001924;2025-02-04;2025-03-24 00:00:00;2026-07-10 00:00:00;Andamento;S3 CONSTRUTORA LTDA;23785668000197,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA PRESENCIAL;EMPREITADA POR PREÇO UNITÁRIO;OAE;Obra Rodoviária; Obra 1 - Construção Ponte sobre o Rio Dourado (estaca 772+19), dimensão 56,0x10,0m, no trecho Cordislândia - Carvalhópolis (Lote 02), rodovia MGC-267; Obra 1 - Carvalhópolis;240,0;180,0;54,0;474,0;4776981,58;0,0;4776981,58;2253468,52;66373,73;2319842,25;2523513,06;0,471734814602321
DC-9448965/2025;IMPL E PAV EM PISTA DUPLA NO TRECHO ANEL VIÁRIO DE SETE LAGOAS E CONS. DOS VIADUTOS S/ FERROVIA CENTRO ATLÂNTICA (FCA).;230152002524;2025-02-04;2025-02-21 00:00:00;2025-12-07 00:00:00;Execução concluída;CONSTRUTORA MARINS LTDA;25388869000186,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Complementação da Implantação e Pavimentação;Obra Rodoviária; Obra 1 - Implantação e pavimentação em pista dupla no trecho Anel Viário de Sete Lagoas (Avenida Norte/Sul - MG/238 - MG/424); Obra 1 - Sete Lagoas;180,0;60,0;50,0;290,0;4553800,0;862794,0;5416594,0;4724748,3;52311,24;4777059,54;691845,7;0,872272926492183
DC-9453556/2025;EXE. DE VISTORIA E ELABORAÇÃO DE PROJETO PARA RECUPERAÇÃO DE - OAE'S - LOCALIZADAS EM RODOVIAS JURISDIÇÃO DER-MG;Não Disponível;2025-02-28;2025-04-08 00:00:00;2027-04-03 00:00:00;Andamento;PROJEL ENGENHARIA ESPECIALIZADA LTDA;44416618000102,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;RDC;EMPREITADA POR PREÇO UNITÁRIO;Projetos Executivos;Obra Rodoviária - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - Execução de Vistoria e elaboração de projeto para recuperação de Obras de Artes Especiais - OAE's - localizadas em rodovias sob jurisdição do DER/MG e; Obra 1 - Belo Horizonte;540,0;0,0;186,0;726,0;9659997,08;0,0;9659997,08;0,0;0,0;0,0;9659997,08;0,0
DC-9458476/2025;MELHORAMENTO E PAVIMENTAÇÃO ENTRº MG/416 (PEÇANHA) À LMG/744 (COROACI) - MG -314;230152002424;2025-03-21;2025-07-01 00:00:00;2027-06-20 00:00:00;Andamento;CONSTRUTORA CENTRO LESTE ENGENHARIA LTDA;66418765000154,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Melhoramento e Pavimentação;Obra Rodoviária; Obra 1 - Melhoramento e pavimentação Entrº MG/416 (Peçanha) à LMG/744 (Coroaci) - MG-314, extensão de 36,910 Km; Obra 1 - Coroaci, Peçanha;720,0;0,0;0,0;720,0;78647423,75;0,0;78647423,75;7281660,04;331330,13;7612990,17;71365763,71;0,0925861228861931
DC-9458861/2025;COMPLEMENTAÇÃO DOS SERVIÇOS DE MELHORAMENTO E PAVIMENTAÇÃO, NO CONTORNO SUL DE UBERLÂNDIA;230152002724;2025-03-28;2025-06-04 00:00:00;2026-05-29 00:00:00;Andamento;BT CONSTRUCOES LTDA.;4810813000106,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Melhoramento e Pavimentação;Obra Rodoviária; Obra 1 - Complementação dos serviços de melhoramento e pavimentação, no Contorno Sul de Uberlândia e Adequação com a MGC-455, na rodovia LMG-503, com 19,040 km; Obra 1 - Uberlândia;360,0;0,0;0,0;360,0;24981452,5;0,0;24981452,5;8004422,87;155733,77;8160156,64;16977029,63;0,320414630414304
DC-9459021/2025;MELHORAMENTO E PAVIMENTAÇÃO DO TRECHO CURRAL DE DENTRO - ENTR.º P/ BERIZAL - MIRANDÓPOLIS - LMG-626 ;230152000425;2025-04-03;2025-05-16 00:00:00;2027-05-05 00:00:00;Andamento;PAVIDEZ ENGENHARIA LTDA;1744153000106,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Melhoramento e Pavimentação;Obra Rodoviária; Obra 1 - Melhoramento e pavimentação do trecho Curral de Dentro - Entrº p/ Berizal - Mirandópolis - LMG-626, extensão de 17,880 km; Obra 1 - Curral de Dentro, Taiobeiras;720,0;0,0;0,0;720,0;35900000,0;0,0;35900000,0;18514111,54;74786,66;18588898,2;17385888,46;0,515713413370474
DC-9459022/2025;PIMENTA - ENTR° BR-265 (GUAPÉ) - LOTE 1;230152000125;2025-04-03;2025-08-11 00:00:00;2026-11-03 00:00:00;Andamento;LCM CONSTRUCAO E COMERCIO S/A;19758842000135,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Complementação da Implantação e Pavimentação;Obra Rodoviária; Obra 1 - Complementação e pavimentação do trecho Pimenta - Entr° BR-265 (Guapé), entre a estaca 845 à estaca 926, estaca 1168+0 à estaca 1186+0 e estaca 1401+0; Obra 1 - Guapé, Pains, Pimenta;450,0;0,0;0,0;450,0;9817558,64;1752347,31;11569905,95;1812283,47;63370,68;1875654,15;9757622,48;0,156637701104217
DC-9459023/2025;PIMENTA - ENTR° BR-265 (GUAPÉ) ;230152000125;2025-04-03;2025-10-13 00:00:00;2027-03-11 00:00:00;Paralisado;LCM CONSTRUCAO E COMERCIO S/A;19758842000135,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Complementação da Implantação e Pavimentação;Obra Rodoviária; Obra 1 - Complementação e pavimentação do trecho Pimenta - Entr. BR-265 (Guapé), entre as estacas 1503 à 2127 - LOTE 2; Obra 1 - Guapé, Pimenta;450,0;0,0;65,0;515,0;29576179,41;0,0;29576179,41;838224,46;55555,52;893779,98;28737954,95;0,0283412014912443
DC-9468321/2025;ALARGAMENTO DA PONTE SOBRE O RIO PARAIBUNA RODOVIA LMG-874 - DIMENSÃO (35,2 X 10,30)M, TRECHO MATIAS BARBOSA - JUIZ DE FORA;230152000725;2025-05-19;2025-08-11 00:00:00;2026-04-07 00:00:00;Andamento;G S COSTA ENGENHARIA LTDA - ME;26368565000110,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Alargamento de Ponte;Obra Rodoviária; Obra 1 - Alargamento da ponte sobre o Rio Paraibuna Rodovia LMG-874 - dimensão (35,2 x 10,30)m, trecho Matias Barbosa - Juiz de Fora; Obra 1 - Juiz de Fora, Matias Barbosa;240,0;0,0;0,0;240,0;2380000,0;0,0;2380000,0;1971628,84;82353,46;2053982,3;408371,16;0,828415478991597
DC-9470224/2025;  MELHORAMENTO E PAVIMENTAÇÃO DO TRECHO ITAPAGIPE - ENTRº 364 (CAMPINA VERDE), MGC 154 - EXTENSÃO 9,500KM - LOTE 01 ;130160600125;2025-06-12;;;A Iniciar;CONSORCIO NOVA MGC 154;61158469000148,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Melhoramento e Pavimentação;Obra Rodoviária; Obra 1 - Melhoramento e pavimentação do Trecho Itapagipe - Entrº 364 (Campina Verde), MGC 154 - extensão 9,500km - Lote 01 ; Obra 1 - Itapagipe;0,0;0,0;0,0;0,0;19446841,31;0,0;19446841,31;0,0;0,0;0,0;19446841,31;0,0
DC-9471605/2025;RECUPERAÇÃO DA PONTE SOBRE O RIO JEQUITINHONHA, NO TRECHO DIAMANTINA - COUTO MAGALHÃES DE MINAS, RODOVIA MGC-367,  EXTENSÃO DE 186,00M;230152001125;2025-07-07;2025-11-04 00:00:00;2026-11-28 00:00:00;Andamento;TRENA - TERRAP CONSTRUCOES LTDA;18742098000118,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Recuperação;Obra Rodoviária; Obra 1 - Recuperação da ponte sobre o Rio Jequitinhonha, no trecho Diamantina - Couto Magalhães de Minas, rodovia MGC-367,  extensão de 186,00m; Obra 1 - Couto de Magalhães de Minas, Diamantina;390,0;0,0;0,0;390,0;9522992,29;0,0;9522992,29;285549,41;12256,94;297806,35;9237442,88;0,0299852610717592
DC-9472752/2025;ENTR. AMG0155 - BRUMADINHO E CONTORNO DE MARIO CAMPOS E ENTR. AMG0155 (MÁRIO CAMPOS) - BETIM;230152000825;2025-08-01;2025-09-10 00:00:00;2027-03-03 00:00:00;Andamento;CONSORCIO AVANCA MG;61991974000179,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Projetos Executivos;Obra Rodoviária - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - Entr. AMG0155 - Brumadinho e contorno de Mario Campos, na rodovia MG-040, Obra 2 - Entr. AMG0155 (Mário Campos) - Betim; Obra 1 - Belo Horizonte, Obra 2 - Belo Horizonte;540,0;0,0;0,0;540,0;7056321,74;0,0;7056321,74;191811,18;2846,27;194657,45;6864510,56;0,0271828846625126
DC-9472756/2025;REVISÃO DE PROJETOS DE OBRAS DE ARTE ESPECIAIS;230152000225;2025-07-30;2025-08-25 00:00:00;2026-06-20 00:00:00;Andamento;ESTEL  ENGENHARIA LTDA-EPP;82144338000181,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Consultoria;Obra Rodoviária - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - Revisão de projetos de obras de arte especiais; Obra 1 - Belo Horizonte;300,0;0,0;0,0;300,0;1655673,22;0,0;1655673,22;203439,81;1922,21;205362,02;1452233,41;0,122874373724545
DC-9473949/2025;CONSTRUÇÃO DA PONTE SOBRE O RIO CASCA TRECHO: ENTRº MG-329 - SANTO ANTÔNIO DO GRAMA.;230152001825;2025-08-05;2025-09-09 00:00:00;2026-09-03 00:00:00;Andamento;TRENA - TERRAP CONSTRUCOES LTDA;18742098000118,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Implantação e OAE;Obra Rodoviária; Obra 1 - Construção da Ponte sobre o Rio casca - Trecho: Entrº MG-329 - Santo Antônio do Grama; Obra 1 - Urucânia;360,0;0,0;0,0;360,0;5978999,99;0,0;5978999,99;1244745,91;0,0;1244745,91;4734254,08;0,208186304077917
DC-9473951/2025;RECUPERAÇÃO FUNCIONAL DO PAVIMENTO, ROD. MG010, TRECHO CONCEIÇÃO DO MATO DENTRO - SERRO (DIS.DE MATO GROSSO) REC. DE TALUDE ERODIDO ;230152001025;2025-08-08;2025-08-26 00:00:00;2027-02-16 00:00:00;Andamento;RT AMBIENTAL LTDA;8697901000196,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Recuperação Funcional do Pavimento;Obra Rodoviária; Obra 1 - Recuperação funcional pavimento MG-010, Conceição do Mato Dentro - Serro (Distr. Mato Grosso), 44,300km / Recomposição de Talude Erodido ; Obra 1 - Alvorada de Minas, Conceição do Mato Dentro, Serro;540,0;0,0;0,0;540,0;45918998,95;0,0;45918998,95;857250,99;6024,71;863275,7;45061747,96;0,0186687647728
DC-9478759/2025;ENCABEÇAMENTO E PONTE SOBRE O RIO PARANAÍBA - TRECHO ROCINHA - LAGAMAR - RODOVIA LMG-722;230152002925;2025-09-18;2025-09-24 00:00:00;2026-09-18 00:00:00;Andamento;SOCIEDADE GERAL DE EMPREITADAS LTDA;92694348000144,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Encabeçamento de ponte;Obra Rodoviária; Obra 1 - Encabeçamento e ponte sobre o rio Paranaíba - Trecho Rochinha - Lagamar - Rodovia LMG-722 - extensão de 96,000m; Obra 1 - Lagamar, Patos de Minas;360,0;0,0;0,0;360,0;14619000,0;0,0;14619000,0;356283,81;0,0;356283,81;14262716,19;0,0243712846295916
DC-9479677/2025;MELHORAMENTO E PAVIMENTAÇÃO DO TRECHO RIO PARDO DE MINAS - ENTRº LMG-635 - (LOTE 2 - ESTACA 554+0 A ESTACA 1659+7,74), COM ;230152003225;2025-10-03;;;A Iniciar;CROS CONSTRUÇÕES S/A;22010581000185,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Melhoramento e Pavimentação;Obra Rodoviária; Obra 1 - Melhoramento e pavimentação do trecho Rio Pardo de Minas - Entrº LMG-635 - (Lote 2 - Estaca 554+0 a Estaca 1659+7,74), com 22,100km; Obra 1 - Rio Pardo de Minas;0,0;0,0;0,0;0,0;57467603,75;0,0;57467603,75;0,0;0,0;0,0;57467603,75;0,0
DC-9481581/2025;APOIO AO DER-MG PARA DESAPROPRIAÇÃO E REGULARIZAÇÃO EXPROPRIATÓRIA;230152003125;2025-10-30;2025-11-04 00:00:00;2028-04-21 00:00:00;Andamento;ALTA ENGENHARIA DE INFRAESTRUTURA LTDA;1415130000158,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Consultoria;Obra Rodoviária - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - Serviço Técnico Especializado de Apoio ao DER-MG para Desapropriação e RegularizaçãoExpropriatória; Obra 1 - Belo Horizonte;900,0;0,0;0,0;900,0;21860486,4;0,0;21860486,4;655814,58;0,0;655814,58;21204671,82;0,0299999994510644
DC-9491012/2025;APOIO A SUPERVISÃO DE OBRAS RODOVIÁRIAS, TRECHO ENTRº MG/416 (PEÇANHA) À LMG/744 (COROACI) - MG-314;230152002425;2025-12-23;;;A Iniciar;PRODEC CONSULTORIA PARA DECISAO S/C LTDA.;34037705000103,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Supervisão;Obra Rodoviária; Obra 1 - Apoio a Supervisão de Obras Rodoviárias,  trecho Entrº MG/416 (Peçanha) à LMG/744 (Coroaci) - MG-314, com 36,91 de extensão; Obra 1 - Peçanha;0,0;0,0;0,0;0,0;4324285,68;0,0;4324285,68;0,0;0,0;0,0;4324285,68;0,0
DC-9491013/2025;IMPLANTAÇÃO DE VARIANTE E PONTE SOBRE O RIO PARAOPEBA NO TRECHO INHAÚMA - PAPAGAIOS;230152002825;2025-12-19;;;A Iniciar;VEREDA ENGENHARIA LTDA;22544134000106,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA PRESENCIAL;EMPREITADA POR PREÇO UNITÁRIO;OAE;Obra Rodoviária; Obra 1 - Implantação de Variante e Ponte sobre o Rio Paraopeba no trecho Inhaúma - Papagaios; Obra 1 - Inhaúma;0,0;0,0;0,0;0,0;20125000,0;0,0;20125000,0;0,0;0,0;0,0;20125000,0;0,0
DC-9492065/2025;APOIO A SUPERVISÃO DE OBRA RODOVIÁRIA NO TRECHO PIMENTA - ENTR° BR-265 (GUAPÉ), NA RODOVIA MG170.;230152002325;2025-12-23;2026-01-05 00:00:00;2027-05-29 00:00:00;Andamento;PRODEC CONSULTORIA PARA DECISAO S/C LTDA.;34037705000103,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Supervisão;Obra Rodoviária; Obra 1 - Apoio a supervisão de obra rodoviária no trecho Pimenta - Entr° BR-265 (Guapé), na rodovia MG170, extensão de 15,20 km; Obra 1 - Guapé, Pimenta;510,0;0,0;0,0;510,0;2624909,09;0,0;2624909,09;0,0;0,0;0,0;2624909,09;0,0
DC-9492083/2025;COMPLEMENTAÇÃO DOS SERVIÇOS DE MELHORAMENTO E PAVIMENTAÇÃO DO TRECHO ARAGUARI (DISTRITO DE AMANHECE) - DIVISA MG/GO.;230152003825;2025-12-23;;;A Iniciar;LCM CONSTRUCAO E COMERCIO S/A;19758842000135,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Complementação da Implantação e Pavimentação;Obra Rodoviária; Obra 1 - Complementação dos Serviços de Melhoramento e Pavimentação do trecho Araguari (Distrito de Amanhece) - Divisa MG/GO, rodovia MG-414; Obra 1 - Araguari;0,0;0,0;0,0;0,0;59889999,58;0,0;59889999,58;0,0;0,0;0,0;59889999,58;0,0
DC-9492718/2025;SUPERVISÃO MELHORAMENTO E PAVIMENTAÇÃO E OAE'S, TRECHO PINTÓPOLIS - URUCUIA, 73,14 KM DE EXTENSÃO, NA RODOVIA MG-402;230152002225;2025-12-30;;;A Iniciar;PRODEC CONSULTORIA PARA DECISAO S/C LTDA.;34037705000103,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Supervisão;Obra Rodoviária; Obra 1 - Apoio à supervisão de obras de melhoramento, pavimentação e OAE's no trecho Pintópolis - Urucuia, 73,14 km de extensão, na rodovia MG-402; Obra 1 - Pintópolis, Urucuia;0,0;0,0;0,0;0,0;3187539,16;0,0;3187539,16;0,0;0,0;0,0;3187539,16;0,0
DE-001/2021;EXECUÇÃO DE OBRAS DE ESTABILIZAÇÃO E CONTENÇÃO DE ENCOSTAS E DESLIZAMENTO EM ÁREAS URBANAS, NO MUNICÍPIO DE CATAGUASES, ;13010171021;2021-02-11;2021-08-10 00:00:00;2022-08-08 00:00:00;Rescindido;CONSÓRCIO CIA DA OBRA / SINARCO 029-DER;40261880000174,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Ampliação e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - EXECUÇÃO DE OBRAS DE ESTABILIZAÇÃO E CONTENÇÃO DE ENCOSTAS E DESLIZAMENTO EM ÁREAS URBANAS, NO MUNICÍPIO DE CATAGUASES; Obra 1 - Cataguases;180,0;0,0;184,0;364,0;9373802,13;0,0;9373802,13;525907,03;101362,04;627269,07;8847895,1;0,0561039184214143
DE-001/2022;REFORMA DO TELHADO DO PRÉDIO DA ADMINISTRAÇÃO FAZENDÁRIA DA SECRETARIA DE ESTADO DE FAZENDA (AF/SEF), EM VESPASIANO;119400100321;2022-02-08;2022-04-13 00:00:00;2022-07-11 00:00:00;Execução concluída;ALMEIDA TOSCANO CONSTRUCOES E REFORMAS LTDA;1214310000171,0;SECRETARIA DE ESTADO DE FAZENDA;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Ampliação e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - REFORMA DO TELHADO DO PRÉDIO DA ADMINISTRAÇÃO FAZENDÁRIA EM VESPASIANO; Obra 1 - Vespasiano;90,0;0,0;0,0;90,0;153585,06;0,0;153585,06;115458,15;12649,01;128107,16;38126,91;0,751753783864134
DE-002/2022;PROJETOS EXECUTIVOS PARA IMPLANTAÇÃO DE MELHORIAS E ADEQUAÇÕES À ACESSIBILIDADE NO COMPLEXO DA CIDADE ADMINISTRATIVA;150118400122;2022-02-22;2022-08-25 00:00:00;2024-05-20 00:00:00;Execução concluída;POTENZA SOLUCOES PREDIAIS E FACILITIES LTDA;35735815000101,0;SECRETARIA DE PLANEJAMENTO GESTÃO E FIINANÇAS;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Projetos Executivos;Obra Edificação - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - ELABORAÇÃO DE PROJETOS EXECUTIVOS PARA IMPLANTAÇÃO DE MELHORIAS E ADEQUAÇÕES À ACESSIBILIDADE DO COMPLEXO DA CIDADE ADMINISTRATIVA ; Obra 1 - Belo Horizonte;210,0;340,0;85,0;635,0;330451,41;74100,0;404551,41;397638,61;43347,98;440986,59;6912,8;0,982912431327331
DE-002/2023;EXECUÇÃO DOS SERVIÇOS DE CONCLUSÃO DA CONSTRUÇÃO DO HOSPITAL REGIONAL DE CONSELHEIRO LAFAIETE;132004300223;2023-01-10;2023-03-01 00:00:00;2025-12-08 00:00:00;Rescindido;SENGEL CONSTRUCOES LTDA;17723933000100,0;SECRETARIA DE ESTADO DE SAÚDE;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;RDC;EMPREITADA POR PREÇO UNITÁRIO;Ampliação e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - EXECUÇÃO SERVIÇOS CONCLUSÃO CONSTRUÇÃO HOSPITAL REGIONAL CONSELHEIRO LAFAIETE_Projeto, Obra 2 - EXECUÇÃO SERVIÇOS CONCLUSÃO CONSTRUÇÃO HOSPITAL REGIONAL CONSELHEIRO LAFAIETE_Obra; Obra 1 - Conselheiro Lafaiete, Obra 2 - Conselheiro Lafaiete;900,0;0,0;114,0;1014,0;31497672,86;0,0;31497672,86;1369012,24;55641,67;1424653,91;30128660,62;0,0434639170355521
DE-003/2022; ELABORAÇÃO DE PROJETOS EXECUTIVOS PARA  A CONSTRUÇÃO DA NOVA SEDE DO HEMONÚCLEO DE SÃO JOÃO DEL REI;232031200322;2022-02-25;2022-04-11 00:00:00;2026-02-16 00:00:00;Paralisado;GRUPO ARQUITETOS E URBANISTAS LTDA.;9492173000149,0;HEMOMINAS;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Projetos Executivos;Obra Edificação - Consultoria , Fiscalização e Projeto de Obras; Obra 1 -  ELABORAÇÃO DE PROJETOS EXECUTIVOS PARA  A CONSTRUÇÃO DA NOVA SEDE DO HEMONÚCLEO DE SÃO JOÃO DEL REI, LOCALIZADA NO MUNICÍPIO DE SÃO JOÃO DEL REI; Obra 1 - São João Del Rei;365,0;510,0;533,0;1408,0;320761,74;1670,79;322432,53;260218,12;24293,27;284511,39;62214,41;0,807046733156856
DE-004/2022;REFORMA E RESTAURAÇÃO DO TELHADO AO LADO DA GARAGEM 1 DA ADMINISTRAÇÃO CENTRAL DA FHEMIG;050010200221;2022-03-10;2022-05-02 00:00:00;2023-05-23 00:00:00;Execução concluída;ALMEIDA TOSCANO CONSTRUCOES E REFORMAS LTDA;1214310000171,0;FUNDAÇÃO HOSPITALAR DO ESTADO DE MINAS GERAIS;DIRETORIA DE OBRAS DE EDIFICAÇÕES E INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Ampliação e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - REFORMA E RESTAURAÇÃO DO TELHADO AO LADO DA GARAGEM 1 DA ADMINISTRAÇÃO CENTRAL DA FHEMIG,; Obra 1 - Belo Horizonte;120,0;120,0;147,0;387,0;342048,15;79222,98;421271,13;357208,54;41150,37;398358,91;64062,59;0,847930262868951
